	Desc	Paliwo	Stan	Rok	Przebieg	Cena
1115	BMW VAT23% Climatronic Nawigacja Xenon Panorama Kamera Tempomat PAPIS	diesel	bezwypadkowy	2013.0	112900.0	79950.0
1116	BMW SERIA 3 IV (E46) 316 klima aso super	benzyna	bezwypadkowy	2003.0	143000.0	9700.0
1117	BMW X5 I (E53) 3.0d Automat Klimatronik Gwarancja !!!	diesel	sprawny	2004.0	272000.0	33900.0
1118	BMW SERIA 1 2014_116iBenzyna 135KM_SUPER_TANIE RATY W NEXT-CAR	benzyna	bezwypadkowy	2014.0	49393.0	48000.0
1119	BMW SERIA 3 320 Diesel 136KM Klimatronic Zarejestrowany	diesel	sprawny	2006.0	183000.0	4200.0
1120	BMW X1 I (E84) 2.0d XDrive * Alu*Salon PL	diesel	bezwypadkowy	2009.0	148365.0	40900.0
1121	BMW X3 II (F25) 2,0 Zadbany xdrive serwisowany bezwypadkowy	diesel	bezwypadkowy	2011.0	202000.0	61900.0
1122	BMW SERIA 3 IV (E46) 318 Zarejestrowana, stan bdb	benzyna	sprawny	1999.0	203000.0	7900.0
1123	BMW SERIA 3 Duża nawi bogate wyposażenie po opłatach	benzyna	bezwypadkowy	2006.0	180000.0	23900.0
1124	BMW SERIA 3 2.0 benzyna klima alu gwarancja	benzyna	bezwypadkowy	2007.0	152000.0	19900.0
1125	BMW SERIA 5 Touring Automat Navi Xenon Panorama	benzyna	uszkodzony	2010.0	128000.0	24900.0
1126	BMW SERIA 8 I (E31) SERIA 8 850 Ci Aut.	benzyna	bezwypadkowy	1991.0	130000.0	79999.0
1127	BMW SERIA 5 faktura VAT 23%, gwarancja 6 mscy	diesel	sprawny	2011.0	198765.0	48500.0
1128	BMW SERIA 5 I właściciel - Pewne Auto - Auto z GWARANCJĄ	diesel	bezwypadkowy	2004.0	273000.0	25900.0
1129	BMW 2.0d 150KM GT LUXURY LUNE, salon Polska, FV23%	diesel	bezwypadkowy	2015.0	60000.0	104900.0
1130	BMW SERIA 5 520d AUTOMAT Touring LIFTING ! Super Stan ! Navi!	diesel	bezwypadkowy	2007.0	231000.0	28900.0
1131	BMW SERIA 5 525D 177KM LIFT Sedan Skóra Po Opłatach	diesel	sprawny	2006.0	213000.0	24900.0
1132	BMW SERIA 5 4x4 auto z pisemną gwarancją	diesel	bezwypadkowy	2008.0	290000.0	39900.0
1133	BMW SERIA 5 IV (E39) 530D SEDAN KLIMATRONIC XENON	diesel	bezwypadkowy	2000.0	230.0	11900.0
1134	BMW SERIA 3 IV (E46) poj 2000 diesel-115KM	diesel	sprawny	2003.0	243000.0	8800.0
1135	BMW X5 III (F15) G05 Nowy model, Spełniamy marzenia najtaniej!	diesel	bezwypadkowy	2019.0	3.0	274900.0
1136	BMW X3 II (F25) Gwarancja Dealar F-ra Vat 23%	diesel	sprawny	2014.0	43416.0	76900.0
1137	BMW SERIA 3 Nawigacja Dotykowa*Felgi*Skóry*2.0*163km*	diesel	sprawny	2005.0	230117.0	18500.0
1138	BMW SERIA 5 520 XDRIVE*SportLine*190KM*Navi*GWARANCJA	diesel	bezwypadkowy	2018.0	14900.0	195000.0
1139	BMW X5 II (E70) *Autentyczny Przebieg*Zarejestrowana*FAKTURA*	diesel	sprawny	2008.0	329000.0	59900.0
1140	BMW SERIA 3 318 2.0Diesel klimatronic alufelgi 6-biegów zarejestrowana	diesel	sprawny	2006.0	299000.0	21500.0
1141	BMW SERIA 3 320 *AUTOMAT*KLIMATRONIK*Serwisowana*Gwarancja*Zarejestrowana*Ubezpi	diesel	bezwypadkowy	2006.0	170000.0	18800.0
1142	BMW X1 F48 Sport Xdrive Automat Oryginalny Przebieg	diesel	uszkodzony	2016.0	26000.0	67527.0
1143	BMW SERIA 7 750 Ksenon Skóra Automat Full Opcja !Gwarancja!	benzyna	sprawny	2007.0	169424.0	44900.0
1144	BMW SERIA 3 Xenon! Kolor Navi! Klimatronik! Parktronik! Alu!	diesel	bezwypadkowy	2008.0	270000.0	25900.0
1145	BMW SERIA 5 IV (E39) Skóra Navi Xenon Zamiana	diesel	sprawny	2000.0	300000.0	14999.0
1146	BMW SERIA 5 520 Salon PL I wł	diesel	bezwypadkowy	2011.0	193000.0	68000.0
1147	BMW X3 II (F25) 2.8i xDrive 245KM Automat Zarejestrowana	benzyna	sprawny	2012.0	122000.0	69900.0
1148	BMW SERIA 3 318 i - Szwajcaria - Gwarancja - Polecam -	benzyna	bezwypadkowy	2007.0	239000.0	21700.0
1149	BMW X5 II (E70) Opcja*Bezwypadek*Serwisowana*Doinwestowana*	diesel	bezwypadkowy	2008.0	175000.0	69900.0
1150	BMW SERIA 3 245 koni. Coupe. X-drive.	benzyna	sprawny	2012.0	57000.0	61900.0
1151	BMW X3 II (F25) Xenon 4x4 Nawigacja Panoramiczny Dach Skóra	diesel	sprawny	2011.0	112092.0	66900.0
1153	BMW SERIA 5 520d Lift,Automat, Xenony, Pan. Dach, GWARANCJA	diesel	sprawny	2008.0	230000.0	34800.0
1154	BMW X3 II (F25) 2,0 184k.m.Xdrive Navi Chrom Kamera BEZWYPADKOWY	diesel	bezwypadkowy	2011.0	203000.0	69900.0
1155	BMW SERIA 3 SPORT*stan pojazdu bardzo dobry	diesel	bezwypadkowy	2012.0	139000.0	73900.0
1156	BMW SERIA 3 320d 184 KM, Serwis ASO, Władz państwowych.	diesel	bezwypadkowy	2011.0	208000.0	37500.0
1157	BMW SERIA 5 530i xDrive 252 KM Sport Line G30 !!	benzyna	sprawny	2017.0	6200.0	169900.0
1158	BMW SERIA 5 Mpakiet 3.0 299KM FULL Dociąganie	diesel	sprawny	2010.0	239000.0	79900.0
1159	BMW SERIA 5 GT 3,0 245KM! Bogate wyposażenie	diesel	uszkodzony	2010.0	259365.0	74999.0
1160	BMW SERIA 3 IV (E46) 320 2,2 170 km M pakiet zarejestrowany	benzyna	bezwypadkowy	2003.0	195000.0	24999.0
1161	BMW SERIA 3 IV (E46) 320 2,2 170 km M pakiet zarejestrowany	benzyna	bezwypadkowy	2003.0	195000.0	24999.0
1162	BMW SERIA 3 II (E30) 2.7 BENZYNA!Automat!Stan BDB!Podgrz.Fotele!Zarejestrowane!	benzyna	sprawny	1986.0	182000.0	18900.0
